Census Year,Male,Female,Total,HHs,Av. HH Size,Approx. Area (Sq.Km),Density (pop/Km2),page,Age,2010,col_2,col_3,2011,col_5,col_6,2012,col_8,col_9,2013,col_11,col_12,2014*,col_14,col_15,col_1,col_4,Area (HA),Area(HA),Farmers,Area (Ha),Area (ha),Seme,Kisumu West,Kisumu East,Nyando,Nyakach,Muhoroni,Active,Dormant,Membership (No),Share Capital (KSh),Public,Boys,Girls,Males,Teachers 2014*,Standard 1,Standard 2,Standard 3,Standard 4,col_7,Standard 5,Standard 6,Standard 7,col_13,Standard 8,col_16,col_17,Accomodation,Gender,Private,Form 1,Form 2,Form 3,Form 4,"1,092 122 106 5 4",7 02 53 62 6 1,6 121,3 7 2,Status,2009/10,2010/11,2011/12,2012/13,2013/14,Category,2012/2013,Sub-County,Hospitals,Health Centres,Dispensaries,col_10,Clinics,Beds,Type of Personnel,County,National,col_0,Area (Km2),Population 2014
1969 1979 1989 1999 2009,"5,482,381 7,607,113 10,628,368 14,205,589 19,192,458","5,460,324 7,719,948 10,815,268 14,481,018 19,417,639","10,942,705 15,327,061 21,443,636 28,686,607 38,610,097","1,938,186 2,956,369 4,352,751 6,371,370 8,767,954",5.6 5.2 4.9 4.5 4.4,"581,313 581,313 581,313 581,313 581,313",18.8 26.4 36.9 49.3 66.4,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Kenya National Bureau of Statistics,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,25,,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,25,0-4 5-9 10-14 15-19 20-24 25-29 30-34 35-39 40-44 45-49 50-54 55-59 60-64 65-69 70-74 75-79 80+,"79,687 70,608 64,771 56,262 48,937 41,342 30,390 22,425 16,780 12562 11368 9100 6605 4842 3683 2617 2831","80,516 70,135 64,164 58,774 56,337 44,049 28,491 20,760 18,509 14544 12282 9905 7364 5952 4637 3668 4617","160,203 140,743 128,935 115,036 105,274 85,391 58,881 43,185 35,289 27,106 23,650 19,005 13,969 10,794 8,320 6,285 7,448","81,395 71,536 66,121 58,015 50,361 42,327 31,470 23,203 17,433 12801 11541 9405 6852 4912 3689 2558 2756","82,302 71,478 65,455 59,084 56,593 45,985 30,530 21,368 18,933 14897 12555 10220 7623 6035 4624 3556 4489","163,697 143,014 131,576 117,099 106,954 88,312 62,000 44,571 36,366 27,698 24,096 19,625 14,475 10,947 8,313 6,114 7,245","83,101 72,448 67,338 59,649 52,296 43,123 32,623 23,989 18,182 13105 11690 9693 7138 4991 3713 2506 2693","84,023 72,801 66,795 59,668 56,692 47,506 32,899 22,063 19,384 15303 12834 10515 7927 6128 4638 3461 4372","167,124 145,249 134,133 119,317 108,988 90,629 65,522 46,052 37,566 28,408 24,524 20,208 15,065 11,119 8,351 5,967 7,065","84,829 73,334 68,454 61,189 54,559 43,862 33,813 24,807 19,001 13484 11837 9958 7449 5088 3753 2468 2633","85,675 74,090 68,177 60,508 56,710 48,637 35,428 22,935 19,878 15742 13127 10798 8257 6245 4677 3390 4261","170,504 147,424 136,631 121,697 111,269 92,499 69,241 47,742 38,879 29,226 24,964 20,756 15,706 11,333 8,430 5,858 6,894","86,571 74,170 69,509 62,686 56,898 44,721 34,981 25,687 19,840 13939 12008 10195 7761 5220 3804 2446 2576","87,255 75,322 69,596 61,570 56,752 49,428 37,877 24,097 20,429 16190 13442 11074 8591 6401 4733 3345 4154","173,826 149,492 139,105 124,256 113,650 94,149 72,858 49,784 40,269 30,129 25,450 21,269 16,352 11,621 8,537 5,791 6,730",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,25,Total,"484,810","504,704","989,514","496,375","515,727","1,012,102","508,278","527,009","1,035,287","520,518","538,535","1,059,053","533,012","550,256","1,083,268",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,25,Source: Kenya National Bureau of Statistics *Provisional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,26,,,Total,Males,,,,,,,Males,,,,,,Females,Females,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,26,,,"36,501 67,393 98,895 226,643 100,346 157,747 335,347 529,778 529,275 510,553 571,979 32,515","18,771 34,288 50,055 114,395 51,957 80,368 168,739 269,466 263,546 258,752 288,716 14,046",,,,,,,"18,393 33,598 49,194 112,884 50,827 77,469 163,516 264,896 255,622 250,715 279,959 13,942",,,,,,"18,105 33,794 49,706 113,759 49,533 80,264 171,823 264,896 273,639 259,838 292,020 18,573","18,438 34,417 50,593 115,884 50,443 80,720 175,898 269,775 280,481 266,343 299,450 18,633",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,27,,,Total,Male,,,,,,,Male,,,,,,Female,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,27,,,"25,771 8,184","16,086 5,010",,,,,,,"13,421 4,166",,,,,,"12,350 4,018","15,779 3,904",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,27,,,Number,Health Facility (%),,,,,,,Health Facility (%),,,,,,Home (%),Home (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,27,,,"25,771 8,184",93.8 48.2,,,,,,,88.8 43.6,,,,,,11.2 56.4,6.2 51.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,27,,,Coverage,Expected,,,,,,,Expected,,,,,,Registered,Registered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,27,,,53.6 51.3,"49,090 16,279",,,,,,,"48,089 15,968",,,,,,"25,771 8 ,184","31,865 8,914",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"1 ,164 7 89 7 29 4 38 4 30 3 61 3 48 3 42 2 57 2 52 3 ,804",,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"8 ,914",,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,31,,,Yield(Ton s/Ha),Area(Ha),,,,,,,Area(Ha),,,,,,Production(Ton s),Production(Ton s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,31,,,22.9 3.8 20.3 1.1 10.0 10.1 8.8 10.7 10.7,"27,150 4,540 11,160 23 8,095 1,462 1,423 1,573 1,106",,,,,,,"32,069 4,930 11,082 51 7,880 1,304 1,516 2,094 1,899",,,,,,"682,806 18,633 225,150 55 79,017 13,184 13,316 22,379 20,270","607,234 18,390 210,654 65 73,911 13,184 13,100 17,390 12,205",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,31,,,98.4,"56,532",,,,,,,"62,825",,,,,,"1,074,810","966,133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,32,,,Long rains,Short rains,,,,,,,,,,,,,Short rains,,Long rains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,32,,,"15,500.0 340.0 2,250.0 120.0 4,240.0 330.0 350.0 45.0 48.0 350.0 224.0 300.0","3 ,240.0 9 4.0 1 ,250.0 6 0.0 2 ,800.0 1 80.0 2 00.0 4 5.0 4 5.0 2 00.0 1 60.0 4 50.0",,,,,,,,,,,,,4 25.0 1 4.0 1 62.0 0 .1 2 57.0 2 4.0 2 2.0 2 .4 3 .5 1 3.0 6 .5 7 0.0,,"2,650.0 32.0 295.0 0.2 340.0 15.0 21.0 4.9 3.6 21.0 9.2 51.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,32,,,"24,097","8 ,724",,,,,,,,,,,,,"1 ,000",,"3,443",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,32,,,Short Rains,,,,,,,,,,,,,,Long Rains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,32,,,120 440 310 80 15,,,,,,,,,,,,,,250 530 470 112 12,,,60 200 36 4 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,32,,,965,,,,,,,,,,,,,,"1,374",,,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,"10 1,176 14,585","188 1,100 43,700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
